tier,arm,depth,conversation_id,question_index,ability,score,context_chars,context_tokens,n_retrieved,response_chars,prompt_tokens,completion_tokens,reader_model,reader_effort,judge_model,judge_effort,config_id
1m,B csls,50,1,0,abstention,0.75,20024.0,5006.0,50.0,56.0,4733.0,363.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,1,1,abstention,0.0,24165.0,6041.0,50.0,758.0,5544.0,346.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,1,2,contradiction_resolution,1.0,22724.0,5681.0,50.0,679.0,5521.0,655.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,1,3,contradiction_resolution,0.875,22255.0,5564.0,50.0,287.0,5312.0,398.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,1,4,information_extraction,1.0,23173.0,5793.0,50.0,146.0,5390.0,130.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,1,5,information_extraction,1.0,24088.0,6022.0,50.0,55.0,5711.0,19.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,1,6,instruction_following,1.0,28325.0,7081.0,50.0,3678.0,6320.0,1274.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,1,7,instruction_following,1.0,23467.0,5867.0,50.0,3590.0,5328.0,1292.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,1,8,knowledge_update,1.0,23562.0,5891.0,50.0,172.0,5598.0,255.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,1,9,knowledge_update,1.0,25457.0,6364.0,50.0,80.0,5811.0,180.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,1,10,multi_session_reasoning,0.75,26174.0,6544.0,50.0,11637.0,5949.0,7663.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
1m,B csls,50,1,11,multi_session_reasoning,0.5,21009.0,5252.0,50.0,913.0,4868.0,3564.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,e57d26801c09
