tier,arm,depth,conversation_id,question_index,ability,score,context_chars,context_tokens,n_retrieved,response_chars,prompt_tokens,completion_tokens,reader_model,reader_effort,judge_model,judge_effort,config_id
100k,A control,50,1,0,abstention,0.0,22817.0,5704.0,50.0,1554.0,5494.0,808.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,1,1,abstention,0.0,19382.0,4846.0,50.0,6270.0,4843.0,1807.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,1,2,contradiction_resolution,0.75,25051.0,6263.0,50.0,504.0,6171.0,465.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,1,3,contradiction_resolution,0.625,23840.0,5960.0,50.0,375.0,5862.0,596.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,1,4,information_extraction,1.0,18829.0,4707.0,50.0,46.0,4701.0,176.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,1,5,information_extraction,0.8333,28992.0,7248.0,50.0,1670.0,6610.0,844.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,1,6,instruction_following,1.0,25839.0,6460.0,50.0,10327.0,6014.0,13095.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,1,7,instruction_following,0.5,22255.0,5564.0,50.0,1011.0,5362.0,1320.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,1,8,knowledge_update,1.0,25564.0,6391.0,50.0,225.0,5886.0,146.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,1,9,knowledge_update,1.0,24356.0,6089.0,50.0,50.0,5776.0,152.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,1,10,multi_session_reasoning,1.0,23187.0,5797.0,50.0,115.0,5536.0,160.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,1,11,multi_session_reasoning,0.75,23933.0,5983.0,50.0,928.0,5549.0,3851.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,1,12,preference_following,1.0,25948.0,6487.0,50.0,3044.0,6231.0,1248.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,1,13,preference_following,1.0,26925.0,6731.0,50.0,9154.0,6131.0,2833.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,1,14,summarization,0.8,29001.0,7250.0,50.0,14429.0,6605.0,6049.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
100k,A control,50,1,15,summarization,0.4,26001.0,6500.0,50.0,13255.0,6041.0,5701.0,openai-gpt-56-luna,xhigh,openai-gpt-56-luna,xhigh,4100c22aede6
